Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,S. Jacobs,Full name,11,10,21,0.045,1957–1964
Relief Society Magazine,B. Brown,Full name,10,6,16,0.085,1934–1969
Relief Society Magazine,Bryant S. Hinckley,Full name,10,10,20,0.073,1932–1946
Relief Society Magazine,C. Cameron Johns,Full name,10,0,10,0.025,1948–1951
Relief Society Magazine,Claire S. Boyer,Full name,10,3,13,0.089,1924–1943
Relief Society Magazine,Clara Laster,Full name,10,0,10,0.045,1950–1968
Relief Society Magazine,Elizabeth Cannon Porter,Full name,10,15,25,0.027,1924–1938
Relief Society Magazine,Elsie Mckinnon Strachan,Full name,10,9,19,0.064,1914–1961
Relief Society Magazine,Emmeline B. Wells,Full name,10,2,12,0.085,1914–1928
Relief Society Magazine,Eunice J. Miles,Full name,10,0,10,0.077,1934–1958
Relief Society Magazine,F. Robinson,Full name,10,0,10,0.071,1962–1970
Relief Society Magazine,Florence Jepperson Madsen,Full name,10,8,18,0.089,1942–1966
Relief Society Magazine,Harold T. Christensen,Full name,10,11,21,0.021,1942–1946
Relief Society Magazine,Hazel Loomis,Full name,10,0,10,0.044,1959–1970
Relief Society Magazine,Jeanette P. Parry,Full name,10,0,10,0.066,1934–1951
Relief Society Magazine,Josephine J. Harvey,Full name,10,0,10,0.081,1947–1953
Relief Society Magazine,Kate M. Barker,Full name,10,15,25,0.108,1930–1946
Relief Society Magazine,Linda S. Fletcher,Full name,10,10,20,0.054,1922–1946
Relief Society Magazine,Linnie F. Robinson,Full name,10,0,10,0.058,1963–1970
Relief Society Magazine,M. Olsen,Full name,10,0,10,0.082,1964–1970
Relief Society Magazine,Marion G. Romney,Full name,10,9,19,0.062,1946–1970
Relief Society Magazine,Mark E. Petersen,Full name,10,8,18,0.081,1944–1970
Relief Society Magazine,Ruth Harwood,Full name,10,0,10,0.109,1938–1952
Relief Society Magazine,S. Stewart,Full name,10,0,10,0.017,1964–1970
Relief Society Magazine,Thelma Ireland,Full name,10,0,10,0.036,1944–1956
Relief Society Magazine,Thomas L. Martin,Full name,10,16,26,0.04,1923–1934
Relief Society Magazine,W. Schow,Full name,10,0,10,0.108,1965–1970
Relief Society Magazine,Agnes Just Reid,Full name,9,0,9,0.015,1933–1955
Relief Society Magazine,Amy W. Evans,Full name,9,7,16,0.048,1924–1940
Relief Society Magazine,Annie Pike Greenwood,Full name,9,0,9,0.031,1923–1936
Relief Society Magazine,Beatrice Rordame Parsons,Full name,9,0,9,0.045,1939–1959
Relief Society Magazine,Counselor Marianne C. Sharp,Full name,9,18,27,0.076,1945–1949
Relief Society Magazine,G. Homer Durham,Full name,9,5,14,0.042,1948–1953
Relief Society Magazine,Glen Perrins,Full name,9,0,9,0.064,1928–1945
Relief Society Magazine,H. Brown,Full name,9,1,10,0.065,1921–1970
Relief Society Magazine,Ida R. Alldredge,Full name,9,0,9,0.068,1921–1941
Relief Society Magazine,Josephine Gardner Moench,Full name,9,0,9,0.066,1932–1937
Relief Society Magazine,M. Thomson,Full name,9,0,9,0.027,1964–1967
Relief Society Magazine,Maude O. Cook,Full name,9,0,9,0.078,1935–1966
Relief Society Magazine,N. Fairbairn,Full name,9,0,9,0.063,1964–1970
Relief Society Magazine,R. Rich,Full name,9,0,9,0.098,1936–1963
Relief Society Magazine,Rose Thomas Graham,Full name,9,0,9,0.052,1942–1966
Relief Society Magazine,Rowena Jensen Bills,Full name,9,0,9,0.088,1938–1969
Relief Society Magazine,Ruth May Fox,Full name,9,0,9,0.084,1922–1939
Relief Society Magazine,S. Cannon,Full name,9,3,12,0.067,1965–1966
Relief Society Magazine,Velma N. Simonsen,Full name,9,14,23,0.101,1945–1955
Relief Society Magazine,Vera W. Pohlman,Full name,9,22,31,0.05,1941–1944
Relief Society Magazine,Vesta Nickerson Fairbairn,Full name,9,0,9,0.128,1964–1966
Relief Society Magazine,Vesta Pierce Crawford,Full name,9,0,9,0.053,1929–1945
Relief Society Magazine,Alfred Osmond,Full name,8,0,8,0.078,1923–1938
Relief Society Magazine,Beatrice R. Parsons,Full name,8,0,8,0.027,1952–1959
