row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
3014,0.0010045284623797564,0.0010191656819334676,0.009484896206814086,0.16173364325790665,0.018549721129300548,0.007737726101282806,0.0019280833314820015,0.5126317839748811,0.016997445069615754,0.0029967602858122664,0.2560547556023912,0.0018473175280918767,0.004167132253904399,4.905322660777624e-4,9.364822308245041e-4,7.206921787659681e-4,3.8189135732931504e-4,0.0013174430812065855
3015,5.140433430171904e-4,7.17476843651203e-4,8.84573439368661e-4,0.0013168253243827266,6.860059686335566e-4,0.0023189332611678075,0.0031930196525065146,0.0025271931100243105,0.0027538989786262823,0.008862945417047763,0.09121407818338753,0.864428279394667,0.001142247224384152,0.002689383486284248,0.0017173180965746105,0.008436484992474375,0.0012698226156950896,0.005327470668107026
3016,0.002187102205148517,6.808495191268914e-4,0.020846701628353247,0.08544059977273985,0.0020235132782696202,7.696276532340511e-4,0.0029714317760708873,0.003662756527921832,0.008164036998495192,0.01676481011619413,0.06026651894916903,0.7149479084624655,0.0028895555445739344,0.0028483089381808064,0.0017617806424326669,0.012953791262217016,0.0098369785948569,0.050983728130549834
3017,0.0017099232109251666,0.007109136317250788,0.001942250932121805,0.004644647773380868,0.003924973838004399,0.002432732725041381,0.0036461328243492337,0.0011624212524911825,0.0035502470124636845,0.0022440004747973116,0.004967470425802385,0.003843708124284683,6.097826845953177e-4,6.416335354475412e-4,0.9494378533026747,0.0016579559390502208,0.001644168419099867,0.00483096120822001
3018,0.0014723228040872274,0.0028960905161577425,0.0010155810401238092,0.017970189661716714,0.00179877505712043,0.004323619486712833,0.002914893376381269,0.002117264214389081,0.0019109013498517914,0.0030627341499460023,0.006479722834516745,0.0043040119779958076,0.0024157496436444667,4.911362921391024e-4,0.7495529023748762,0.0019633904866139962,0.18671936481078266,0.008591349922944408
3019,0.0014991336435899848,0.08002490392012589,0.0018074929466631421,0.0034723075314729715,0.005609296346126652,0.0019313568111504697,0.0023888686543766676,0.0027251722045313525,0.032254484252427704,0.0016548029520243677,0.023526685425053054,0.0038021159144912267,5.623062788818258e-4,2.9723816758847615e-4,0.8349830112485639,0.001049349074725332,5.855110011360969e-4,0.001825963627071177
3020,0.0026398941963272195,0.010456395983039072,0.381810259068123,0.017572565197015347,0.019630930871005373,0.006176894232950431,0.049279922886163084,0.05506245596936148,0.008829703229767056,0.008462319488955766,0.10806902043982639,0.032861577173423195,0.2516186282229338,0.02276403789772677,0.004047688898974217,0.009224449540440275,7.765920788840059e-4,0.010716664625083281
3021,0.021938541387766037,0.10091240164753847,0.0072712945863072,0.002914776949007257,0.18628147532604278,4.1850101795354745e-4,7.042919917099424e-4,3.264943118101042e-4,0.003100585856446149,0.5484190768385417,0.005608928856071575,0.0011592180905426628,2.878194298561314e-5,0.0981431240445048,0.007796145077378758,0.0054943065538913555,0.005426503651548701,0.004055551869952931
3022,0.0011069065436593094,2.733597128628606e-4,0.0032329346904536407,0.9424659471335167,0.024671026293161948,3.36019536417157e-4,0.0016090395407740625,0.004315971117175463,0.0010350834513563978,0.0018448122690766676,0.0029783485135805947,4.0964187259920473e-4,0.0013925839764638702,1.7129665022933314e-4,0.007335074416506811,0.001681895553400927,6.909715320985589e-4,0.004449087196666594
3023,0.0012507746519664269,1.0389375332751555e-4,0.001350896396000127,0.20752993893908184,0.001812861524232862,1.5663306835084624e-4,0.004661339395860663,5.266578771304804e-4,0.0013352524468662954,0.14744607151240754,0.007332740334054939,0.046745842010250796,0.00053099423923719225,0.4503277825296532,0.005966997103729043,0.0031955933358484415,0.016470410032591917,0.10325532084940975
