docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1056,2.558728846032636e-4,5.729898575052694e-4,0.001401733112526113,0.0013595225082630386,0.003794194985234604,0.9012762342679429,0.0014930039093652239,0.0037664992746981826,0.0019695438112518737,4.259794581995873e-4,0.002365333636262051,5.038332953831299e-4,8.398713965700306e-4,4.0985690867836915e-4,4.0537539079009405e-4,7.995089910693665e-4,9.637122711781661e-4,0.002978185448048641,0.0740725515710362,3.461970213937837e-4,1066,August,Vol6,1919,August_Vol6_00_CONTENTS.txt,August_Vol6_00_CONTENTS.txt,Vol6,1919,August
1057,1.7515014424942767e-4,1.3069486762699737e-4,2.6503564029895756e-5,1.930841211867273e-4,3.095183811341698e-4,0.10289352880665886,2.965383177699624e-4,0.7652971652582337,2.689707622427554e-4,0.0010127452264700894,1.0419531616595763e-4,0.1143528489877693,6.363900426505386e-4,7.815002524269582e-4,3.198684598262238e-5,0.0014637998457073564,1.6066027280110681e-4,5.036353354540568e-4,0.011193313886144899,1.677697652948767e-4,1067,August,Vol6,1919,August_Vol6_01_Clawson_Family_Frontispiece.txt,August_Vol6_01_Clawson_Family_Frontispiece.txt,Vol6,1919,August
1058,1.0101434271868983e-4,2.0436139047245037e-5,0.0022163322159722398,0.0029991626927176763,2.2908923573925372e-4,5.404904793604194e-4,0.0016383013887581216,2.2143179346800578e-4,0.0032760124676158007,4.570000877844597e-4,0.9613112516532278,5.450542412152905e-5,0.0013142849491553782,3.195098302517397e-4,1.3639868609393105e-4,0.001839440540996647,3.8781237485480303e-4,0.006281564736623854,0.01657659782622197,7.936313526965147e-5,1068,August,Vol6,1919,"August_Vol6_02_Relief_Society_Conference_Minutes...Susa_Young_Gates,_Corres.txt","August_Vol6_02_Relief_Society_Conference_Minutes...Susa_Young_Gates,_Corres.txt",Vol6,1919,August
1059,8.33834584549336e-5,1.5815898054690074e-4,0.31660748057733684,4.646321099884027e-4,0.016953983654768204,4.324236437323739e-4,9.398245158449872e-4,3.7174953931235546e-4,0.0013650820751962723,0.0026773287647814453,6.753385488264518e-4,1.698407086858685e-4,5.090339918920778e-4,0.019906873119813734,0.6270823107789059,1.2558537952508605e-4,2.4975691856599655e-4,7.06943158517687e-4,0.010429671258008803,9.059881729489371e-5,1069,August,Vol6,1919,August_Vol6_03_Reminiscences_of_Margaret_Gay_Judd_Clawson_(Continued).txt,August_Vol6_03_Reminiscences_of_Margaret_Gay_Judd_Clawson_(Continued).txt,Vol6,1919,August
1060,1.5999658464592385e-4,7.94601248871772e-5,1.6846396492549337e-4,1.1680896383989143e-4,4.19884463825597e-4,7.04001573909836e-5,4.3515861019343544e-4,4.534760324168018e-4,1.4063368174957122e-4,0.00453948687703432,4.4154823464400366e-4,0.0034282620740047186,5.536199608585026e-4,0.9839477150753589,0.002678217448503119,8.709203352497258e-4,4.888856904146263e-4,6.506447717533602e-4,2.829341966308497e-4,7.348275167358098e-5,1070,August,Vol6,1919,August_Vol6_04_Construction_and_Reconstruction_in_the_Home.txt,August_Vol6_04_Construction_and_Reconstruction_in_the_Home.txt,Vol6,1919,August
1061,3.4785904560240424e-4,0.0012705472951221187,5.101917271590801e-4,0.01687864103818944,1.4471888403067492e-4,4.200659842089414e-4,3.943272509589991e-4,2.614799666950653e-4,0.002204255937641863,2.691527135589295e-4,0.004334316343280591,4.3461845943317695e-4,0.0012715117950668575,4.1160380378025933e-4,3.24606178101378e-4,0.005229397733615881,0.9532409668724071,0.003586494391691533,0.008364359360344647,1.008852191119845e-4,1071,August,Vol6,1919,August_Vol6_05_On_the_Watch_Tower_James_H._Anderson.txt,August_Vol6_05_On_the_Watch_Tower_James_H._Anderson.txt,Vol6,1919,August
1062,0.23474496799362077,0.002688028001160994,6.793849827984469e-4,0.0012105858470124904,5.363582115970473e-4,9.99194263411913e-4,0.006255895444659378,0.0011450413670312054,0.11284539474493795,0.0019429257057037653,0.06784520877280285,0.07813228605296473,0.35556591559207684,2.87791279786656e-4,1.6125086768432827e-4,0.07250101433466603,6.179739483129111e-4,6.581931655434696e-4,0.0594780868059701,0.001704502618258394,1072,August,Vol6,1919,August_Vol6_06_Editorial.txt,August_Vol6_06_Editorial.txt,Vol6,1919,August
1063,2.9910477687542566e-4,2.7357153435600195e-4,1.5649422289086825e-4,0.004001264922172002,1.1608072000183747e-4,7.111595504429267e-5,2.094213421922445e-4,1.4990086773238956e-4,0.2825765053057403,1.7407494355159642e-4,0.03674132690117906,2.5492216509133365e-4,0.07543347564915782,2.6875480888268933e-5,6.262117517687374e-4,0.4350912384313985,0.0011891128162565623,5.87348132639904e-4,0.0075167660370359345,0.1545051880440268,1073,August,Vol6,1919,August_Vol6_07_Guide_Lessons.txt,August_Vol6_07_Guide_Lessons.txt,Vol6,1919,August
1064,1.0864272276742333e-4,6.695750820799343e-5,1.900515145918273e-4,1.7168645271885638e-4,0.05206311879400785,0.09165589026026838,6.233319978302354e-4,0.6886243378171915,0.0013551752496953153,6.039082723179331e-4,2.5886434580009004e-4,5.149096011045961e-4,6.742409608480767e-4,3.7009758270867786e-4,2.0154397856102276e-4,2.3582018080127513e-4,8.31401693645361e-5,3.662325021201208e-4,0.16163249710585909,1.995529832354012e-4,1074,August,Vol6,1919,August_Vol6_MISC.txt,August_Vol6_MISC.txt,Vol6,1919,August
1065,2.8169060227011892e-5,7.104611687104128e-5,3.9997017443650434e-4,4.926968598902006e-4,3.921486272786528e-4,0.001659416893033619,1.5457672015710346e-4,0.0018950008904570828,6.783847593915156e-4,3.430088199517091e-4,0.0013470701560259915,1.2975824129206554e-4,2.003758172340312e-4,1.3380272575704217e-4,5.957340143299851e-5,4.621645168667261e-4,2.7350787348858006e-4,6.382693431560892e-4,0.9905686215896268,7.243741342433429e-5,1075,December,Vol6,1919,December_Vol6_00_BOARD.txt,December_Vol6_00_BOARD.txt,Vol6,1919,December
