doc_id,file,path,volume,month,year,etype,title,author,word_count,source
vol2_April_10,10_Guide.txt,articles/vol2/April/10_Guide.txt,vol2,April,1915,article,Guide,Lessons Guide Lessons,1870,R_RS
vol2_April_11,11_Music_Spring.txt,articles/vol2/April/11_Music_Spring.txt,vol2,April,1915,article,Music Spring,B. Cecil Gates,551,R_RS
vol2_May_01,01_Sarah_Ellen_Richards_Smith.txt,articles/vol2/May/01_Sarah_Ellen_Richards_Smith.txt,vol2,May,1915,article,Sarah Ellen Richards Smith,Joseph F. Smith,1772,R_RS
vol2_May_02,02_A_Loving_Tribute_to_Sarah_Ellen_Richards_Smith.txt,articles/vol2/May/02_A_Loving_Tribute_to_Sarah_Ellen_Richards_Smith.txt,vol2,May,1915,article,A Loving Tribute to Sarah Ellen Richards Smith,Julina L. Smi,1761,R_RS
vol2_May_03,03_History_of_the_Weber.txt,articles/vol2/May/03_History_of_the_Weber.txt,vol2,May,1915,article,History of the Weber,Stake Relief Society,1249,R_RS
vol2_May_04,04_Notes_from_Field_Notes_from_the.txt,articles/vol2/May/04_Notes_from_Field_Notes_from_the.txt,vol2,May,1915,article,Notes from Field Notes from the,Field,1319,R_RS
vol2_May_05,05_Clothing_for_Women_Past_Forty.txt,articles/vol2/May/05_Clothing_for_Women_Past_Forty.txt,vol2,May,1915,article,Clothing for Women Past Forty,The Two Sarahs,1341,R_RS
vol2_May_06,06_Home_Science_Home_Gardening_for.txt,articles/vol2/May/06_Home_Science_Home_Gardening_for.txt,vol2,May,1915,article,Home Science Home Gardening for,Women,950,R_RS
vol2_May_07,07_In_the_Kitchen_Laboratory.txt,articles/vol2/May/07_In_the_Kitchen_Laboratory.txt,vol2,May,1915,article,In the Kitchen Laboratory,Hazel Love Dunford,962,R_RS
vol2_May_08,08_The_Textile_Arts.txt,articles/vol2/May/08_The_Textile_Arts.txt,vol2,May,1915,article,The Textile Arts,Rose H. Widtsoe,390,R_RS
vol2_May_09,09_Prince_of_Ur_A_Prince_of.txt,articles/vol2/May/09_Prince_of_Ur_A_Prince_of.txt,vol2,May,1915,article,Prince of Ur A Prince of,Ur Homespun,2274,R_RS
vol2_May_10,10_Genealogy_Genealogy.txt,articles/vol2/May/10_Genealogy_Genealogy.txt,vol2,May,1915,article,Genealogy Genealogy,,2743,R_RS
vol2_May_11,11_Current_Topics_Current_Topics.txt,articles/vol2/May/11_Current_Topics_Current_Topics.txt,vol2,May,1915,article,Current Topics Current Topics,James H. Anderson,798,R_RS
vol2_May_12,12_Editorial.txt,articles/vol2/May/12_Editorial.txt,vol2,May,1915,editorial,Editorial,Guide Lessons,102,R_RS
vol2_June_02,02_Genealogy_The_Genealogical_Convention_at_the_Fair_Janette_A_Hyde.txt,articles/vol2/June/02_Genealogy_The_Genealogical_Convention_at_the_Fair_Janette_A_Hyde.txt,vol2,June,1915,article,"Genealogy The Genealogical Convention at the Fair — Janette A. Hyde,",,819,R_RS
vol2_June_03,03_The_April_Conference_Amy_Brown_Lyman.txt,articles/vol2/June/03_The_April_Conference_Amy_Brown_Lyman.txt,vol2,June,1915,article,"The April Conference — Amy Brown Lyman,",,1905,R_RS
vol2_June_04,04_Early_Development_of_the_Textile_Art_Rose_H_Widtsoe.txt,articles/vol2/June/04_Early_Development_of_the_Textile_Art_Rose_H_Widtsoe.txt,vol2,June,1915,article,"Early Development of the Textile Art — Rose H. Widtsoe,",,1450,R_RS
vol2_June_05,05_Clothing_The_Two_Sarahs.txt,articles/vol2/June/05_Clothing_The_Two_Sarahs.txt,vol2,June,1915,article,"Clothing — The Two Sarahs,",,1031,R_RS
vol2_June_06,06_In_the_Kitchen_Laboratory.txt,articles/vol2/June/06_In_the_Kitchen_Laboratory.txt,vol2,June,1915,article,"In the Kitchen Laboratory,",,736,R_RS
vol2_June_07,07_Health_Development_Maud_Baggarley.txt,articles/vol2/June/07_Health_Development_Maud_Baggarley.txt,vol2,June,1915,article,"Health Development — Maud Baggarley,",,727,R_RS
vol2_June_08,08_Notes_from_Field_Notes_from_the_Field.txt,articles/vol2/June/08_Notes_from_Field_Notes_from_the_Field.txt,vol2,June,1915,article,"Notes from Field Notes from the Field,",,860,R_RS
vol2_June_09,09_Prince_of_Ur_A_Prince_of_Ur.txt,articles/vol2/June/09_Prince_of_Ur_A_Prince_of_Ur.txt,vol2,June,1915,article,"Prince of Ur A Prince of Ur,",,3047,R_RS
vol2_June_11,11_Current_Topics_Current_Topics_James_H_Anderson.txt,articles/vol2/June/11_Current_Topics_Current_Topics_James_H_Anderson.txt,vol2,June,1915,article,"Current Topics Current Topics — James H. Anderson,",,460,R_RS
vol2_June_12,12_Genealogy_Genealogy.txt,articles/vol2/June/12_Genealogy_Genealogy.txt,vol2,June,1915,article,"Genealogy Genealogy,",,1069,R_RS
vol2_June_13,13_Editorial_The_Battle_of_Wills.txt,articles/vol2/June/13_Editorial_The_Battle_of_Wills.txt,vol2,June,1915,editorial,"Editorial The Battle of Wills,",,1819,R_RS
vol2_June_14,14_Guide_Lessons_Guide_Lessons.txt,articles/vol2/June/14_Guide_Lessons_Guide_Lessons.txt,vol2,June,1915,article,"Guide Lessons Guide Lessons,",,1896,R_RS
vol2_July_02,02_Augusta_Joyce_Crocheron.txt,articles/vol2/July/02_Augusta_Joyce_Crocheron.txt,vol2,July,1915,article,Augusta Joyce Crocheron —,Emmeline B. Wells,785,R_RS
vol2_July_03,03_Research.txt,articles/vol2/July/03_Research.txt,vol2,July,1915,article,Research,,855,R_RS
vol2_July_04,04_Her_Vacation.txt,articles/vol2/July/04_Her_Vacation.txt,vol2,July,1915,article,Her Vacation —,Sophy Valentine,2949,R_RS
vol2_July_05,05_The_Bridegroom_Cometh_L.txt,articles/vol2/July/05_The_Bridegroom_Cometh_L.txt,vol2,July,1915,article,The Bridegroom Cometh — L.,Lula Greene Richards,254,R_RS
vol2_July_06,06_Home_Department.txt,articles/vol2/July/06_Home_Department.txt,vol2,July,1915,article,Home Department —,Janette A. Hyde,1235,R_RS
vol2_July_07,07_Nursing_in_the.txt,articles/vol2/July/07_Nursing_in_the.txt,vol2,July,1915,article,Nursing in the,Relief Society,1329,R_RS
vol2_July_08,08_Clothing_for.txt,articles/vol2/July/08_Clothing_for.txt,vol2,July,1915,article,Clothing for,Women,861,R_RS
vol2_July_09,09_Current_Topics_Current_Topics.txt,articles/vol2/July/09_Current_Topics_Current_Topics.txt,vol2,July,1915,article,Current Topics Current Topics —,James H. Anderson,1175,R_RS
vol2_July_10,10_In_the_Kitchen_Laboratory.txt,articles/vol2/July/10_In_the_Kitchen_Laboratory.txt,vol2,July,1915,article,In the Kitchen Laboratory —,Hazel L. Dunford,1528,R_RS
vol2_July_11,11_Good_Health.txt,articles/vol2/July/11_Good_Health.txt,vol2,July,1915,article,Good Health —,Maud Baggarley,213,R_RS
vol2_July_12,12_Prince_of_Ur_The_Prince_of.txt,articles/vol2/July/12_Prince_of_Ur_The_Prince_of.txt,vol2,July,1915,article,Prince of Ur The Prince of,Ur,2684,R_RS
vol2_July_13,13_Homespun.txt,articles/vol2/July/13_Homespun.txt,vol2,July,1915,article,Homespun,,671,R_RS
vol2_July_14,14_Editorial_Destruction_Upon_the.txt,articles/vol2/July/14_Editorial_Destruction_Upon_the.txt,vol2,July,1915,editorial,Editorial Destruction Upon the,Waters,656,R_RS
vol2_July_15,15_Guide.txt,articles/vol2/July/15_Guide.txt,vol2,July,1915,article,Guide,Lessons Guide Lessons,1504,R_RS
vol2_August_01,01_Ye_Ancient_and_Honorable_Order_of.txt,articles/vol2/August/01_Ye_Ancient_and_Honorable_Order_of.txt,vol2,August,1915,article,Ye Ancient and Honorable Order of,Midwifery,2225,R_RS
vol2_August_02,02_Mormon.txt,articles/vol2/August/02_Mormon.txt,vol2,August,1915,article,Mormon,Women Physicians,1743,R_RS
vol2_August_03,03_The_Conversion_of_Brother_Oldtimer.txt,articles/vol2/August/03_The_Conversion_of_Brother_Oldtimer.txt,vol2,August,1915,article,The Conversion of Brother Oldtimer —,Lucy May Green,1392,R_RS
vol2_August_04,04_Clothing_for_Women.txt,articles/vol2/August/04_Clothing_for_Women.txt,vol2,August,1915,article,Clothing for Women —,The Two Sarahs,575,R_RS
vol2_August_05,05_In_the_Kitchen_Laboratory.txt,articles/vol2/August/05_In_the_Kitchen_Laboratory.txt,vol2,August,1915,article,In the Kitchen Laboratory —,Hazel Love Dunford,1150,R_RS
vol2_August_06,06_Home_Department.txt,articles/vol2/August/06_Home_Department.txt,vol2,August,1915,article,Home Department —,Janette A. Hyde,174,R_RS
vol2_August_07,07_Prince_of_Ur_A_Prince_of.txt,articles/vol2/August/07_Prince_of_Ur_A_Prince_of.txt,vol2,August,1915,article,Prince of Ur A Prince of,Ur,1863,R_RS
vol2_August_08,08_Homespun.txt,articles/vol2/August/08_Homespun.txt,vol2,August,1915,article,Homespun,,713,R_RS
vol2_August_09,09_Current.txt,articles/vol2/August/09_Current.txt,vol2,August,1915,article,Current,Topics Current Topics,806,R_RS
vol2_August_10,10_Notes_from_Field_Notes_from_the.txt,articles/vol2/August/10_Notes_from_Field_Notes_from_the.txt,vol2,August,1915,article,Notes from Field Notes from the,Field,526,R_RS
vol2_August_11,11_If_It_Could_Be.txt,articles/vol2/August/11_If_It_Could_Be.txt,vol2,August,1915,article,If It Could Be —,Bertha A. Kleinman,186,R_RS
vol2_August_12,12_Editorial_Death.txt,articles/vol2/August/12_Editorial_Death.txt,vol2,August,1915,editorial,Editorial Death,Hath Her Victories,2207,R_RS
vol2_August_13,13_Guide.txt,articles/vol2/August/13_Guide.txt,vol2,August,1915,article,Guide,Lessons Guide Lessons,2081,R_RS
vol2_September_01,01_Genealogy_International_Genealogical_Congress_at_the.txt,articles/vol2/September/01_Genealogy_International_Genealogical_Congress_at_the.txt,vol2,September,1915,article,Genealogy International Genealogical Congress at the,Panama-Pacific Ex,4770,R_RS
