word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
home,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.19384193420410156,0.19510507583618164,0.020326075147370688,250,250
home,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.19433313608169556,0.19660896062850952,0.027235468193424713,250,250
home,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.1894569993019104,0.19094616174697876,0.004779011057765747,250,250
work,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.17473828792572021,0.1769232153892517,0.021532601671701183,250,250
work,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18217051029205322,0.18248915672302246,0.014739326807405917,250,250
work,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.179449200630188,0.18185275793075562,0.0224545874031955,250,248
work,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.18984568119049072,0.18953239917755127,0.06401912304698079,250,250
work,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1828519105911255,0.18242990970611572,0.02941394532340388,250,250
work,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.1802225112915039,0.18168866634368896,0.024188102120654493,250,248
work,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.19033241271972656,0.18912780284881592,0.03972446440467127,250,250
work,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.18707901239395142,0.18803304433822632,0.008753932195930923,250,248
work,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.1963147521018982,0.1947203278541565,0.026651467322878986,250,250
work,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.19059664011001587,0.18922144174575806,0.01643336753666333,248,250
sister,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.18596243858337402,0.188113272190094,0.15063012215764934,250,250
sister,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18769752979278564,0.18809562921524048,0.03849670086761556,250,250
sister,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.1829228401184082,0.18519937992095947,0.06596541025052255,250,250
sister,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.18541818857192993,0.18574458360671997,0.20911364812870928,250,250
sister,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.18335098028182983,0.18450915813446045,0.06006705625530834,250,250
sister,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.17454606294631958,0.17750602960586548,0.03381105093616069,250,250
sister,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.17264509201049805,0.17231416702270508,0.01928995653110927,250,250
sister,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.18092632293701172,0.18290239572525024,0.010164312615226042,250,250
sister,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.18087071180343628,0.1805782914161682,0.08074610187146203,250,250
sister,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.17137300968170166,0.1684408187866211,0.04958375516002292,250,250
nurse,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.17226475477218628,0.17355281114578247,0.09794225942281251,249,146
