docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
418,3.35045899867194e-5,5.576566810090565e-5,0.005758654848915455,0.0028535196491639384,4.232038425980104e-4,0.041571331558632914,0.0013603092161406521,0.001197081689002899,0.0011375501534876763,2.774862731651093e-4,0.018622158480423104,1.8129567194047496e-4,2.329002958152709e-4,7.696503962161342e-4,3.6937748627410984e-4,0.0015258452399478295,0.001255186539456446,0.8833941463171274,0.038732076386785184,2.4895569681942175e-4,421,September,Vol2,1915,September_Vol2_06_Notes_from_Field_Notes_from_the_Field_—_Amy_B._Lyman.txt,September_Vol2_06_Notes_from_Field_Notes_from_the_Field_—_Amy_B._Lyman.txt,Vol2,1915,September
419,4.600592720368121e-4,0.001157056452696671,2.893197111615949e-4,0.002015876532759717,2.5626994356914355e-4,1.9473747916166106e-4,3.911509913250919e-4,6.06708517908263e-5,0.002351616364213533,1.5723106315402983e-4,8.781850679224559e-4,3.434452548720717e-4,0.0011329556229292298,5.915215010808618e-4,7.178063257205581e-4,9.93240360817274e-4,0.9860526358533583,0.0011514443382475632,7.132910853424264e-4,9.148592783959351e-5,422,September,Vol2,1915,September_Vol2_07_Current_Topics_Current_Topics_—_James_H._Anderson.txt,September_Vol2_07_Current_Topics_Current_Topics_—_James_H._Anderson.txt,Vol2,1915,September
420,0.0040441251184825,6.202867375892747e-4,0.0011762440326257234,0.04960499138387165,0.0018028781431116275,3.094286928116865e-4,0.09565534452431923,9.364053881143931e-4,0.21744819047647354,0.11127812876814205,0.010707009348842833,0.0014889643699396698,0.2826811653729569,2.2461283573473715e-4,0.00221993243224199,0.006700826901689866,8.413298830310339e-4,0.0014533925617263176,0.006171978301619815,0.20463476472667516,423,September,Vol2,1915,September_Vol2_08_Editorial_Editorial.txt,September_Vol2_08_Editorial_Editorial.txt,Vol2,1915,September
421,0.04727803873239567,0.0013825923118093084,3.594482177218307e-4,0.0044163119121211755,9.403259903545647e-4,0.03646788685427065,0.027322818963020114,0.0016423457459491557,0.0035854833324261144,0.26406325852135215,0.005562329054205941,0.002338163821057972,0.5172616887294298,9.352707525354067e-4,0.0017624402426929477,0.08143787629236376,7.980264830026135e-4,8.881484288937289e-4,0.0011021149418635986,4.554306725333913e-4,424,September,Vol2,1915,September_Vol2_09_Guide_Lessons_Guide_Lessons.txt,September_Vol2_09_Guide_Lessons_Guide_Lessons.txt,Vol2,1915,September
422,1.7895219281615203e-4,2.4548230472766295e-5,1.5650717223299405e-4,2.2977117641543804e-4,5.07118403313545e-4,3.533876850340338e-4,7.407366599315958e-4,0.18886068601697206,1.1531022154954174e-4,0.5335396708243081,6.150387458033413e-4,0.0020958398046045873,8.650884091589869e-4,0.22421444867904838,6.142057029093766e-4,0.0016736961883956653,1.5303863384772093e-4,6.513649442732555e-4,0.04436265406714961,4.7936241762067746e-5,425,September,Vol2,1915,September_Vol2_10_Article_Clothing_for_Women_Past_Forty_—_The_Two_Sarahs.txt,September_Vol2_10_Article_Clothing_for_Women_Past_Forty_—_The_Two_Sarahs.txt,Vol2,1915,September
423,2.0086427106431968e-4,2.751493944392661e-4,0.0025443596635693344,0.28941148867731076,0.001227295684247158,0.0016629925535896306,0.15192926393163722,0.0014068305485518962,0.005729836773630593,0.0011068789797880898,0.01616249476974501,1.1889182662674219e-4,8.179187897163562e-4,1.2072629406834103e-4,3.3224142172016876e-4,9.472828827067236e-4,0.0013252242770297655,0.004395638699866926,0.5200275713397311,2.570492209613787e-4,426,September,Vol2,1915,September_Vol2_Misc.txt,September_Vol2_Misc.txt,Vol2,1915,September
424,4.314216949837465e-5,1.0119060495765576e-4,6.794672343702982e-4,6.421464878161412e-4,5.569513794088866e-4,0.0022128468289609356,2.2448312671687033e-4,0.0023012169441131852,9.627349265646805e-4,4.729321511896917e-4,0.0017643351292596806,1.828951042317231e-4,2.869913608566462e-4,1.865900892396223e-4,7.948859557679313e-5,6.467552099301872e-4,3.870886038342129e-4,8.248040429765427e-4,0.9873493402053987,9.4599805098482e-5,427,April,Vol3,1916,April_Vol3_00_BOARD.txt,April_Vol3_00_BOARD.txt,Vol3,1916,April
425,1.488699169602369e-4,2.63392813920336e-4,4.702852578777552e-4,4.140480273354491e-4,0.0021819402159542487,0.9856827430269002,8.074984966338328e-4,0.0011649890397373204,7.389317939870978e-4,1.2158686531585479e-4,5.642678024002504e-4,2.048384395496696e-4,4.2402136050263443e-4,1.7011049387618025e-4,2.1949501480109297e-4,2.277924699081125e-4,3.4455917715594067e-4,9.863658914625517e-4,0.004721855300211574,1.4240859550912116e-4,428,April,Vol3,1916,April_Vol3_00_CONTENTS.txt,April_Vol3_00_CONTENTS.txt,Vol3,1916,April
426,3.614847345193535e-4,3.930245313556999e-4,0.0020312141976427498,6.372635915582984e-4,0.8923451245329321,0.051558736566348316,0.0029619046279689997,0.005739009554806336,0.0060699519727829285,9.487453501740999e-4,0.001625297252850512,2.9992397685047053e-4,0.002911938830516013,0.0012617555475348216,0.0035786000389875275,1.5710059186761866e-4,3.96209578288834e-4,9.173948602409913e-4,0.02526030134672952,5.450183160449846e-4,429,April,Vol3,1916,April_Vol3_01_Article_My_Epitaph_Eliza_R._Snow.txt,April_Vol3_01_Article_My_Epitaph_Eliza_R._Snow.txt,Vol3,1916,April
427,0.002250361262405964,4.1065795194996887e-4,0.4646863674933918,0.012225189298382119,0.10660810356117935,3.6635199340507587e-4,0.10396211831887998,6.62546910614625e-5,0.06400343863283409,5.346057164944724e-4,0.15631609656924036,2.958867436813436e-5,0.08297291203752913,2.1821983130124252e-4,0.0034342214557752763,1.570920760189325e-4,2.537783173049384e-4,6.777787550035292e-4,5.162386128122595e-4,3.106247506626888e-4,430,April,Vol3,1916,April_Vol3_02_Mothers_in_Israel_The_Mother_of_Mothers_in_Israel.txt,April_Vol3_02_Mothers_in_Israel_The_Mother_of_Mothers_in_Israel.txt,Vol3,1916,April
