topic_num,topic_label,proportion,filename,Title,Author,Article_Type,volume_num,year,issue,proportion_pct
5,Community Celebration,0.9749589389111118,WE_Vol33_1904_Issue9_054_A_PLEASANT_BIRTHDAY.txt,A PLEASANT BIRTHDAY.,Unknown,Article,33,1904,9,97.5
5,Community Celebration,0.9707230012799607,WE_Vol37_1908_Issue7_014_BIRTHDAY_PARTY.txt,Birthday Party,Unknown,Article,37,1908,7,97.07
5,Community Celebration,0.9697419535518076,WE_Vol32_1903_Issue1_018_A_HAPPY_GATHERING.txt,A Happy Gathering,Unknown,Article,32,1903,1,96.97
5,Community Celebration,0.9662536083452596,WE_Vol39_1910_Issue2_005_LAWN_PARTY_AND_BANQUET.txt,LAWN PARTY AND BANQUET.,Unknown,Article,39,1910,2,96.63
5,Community Celebration,0.965902196490216,WE_Vol33_1904_Issue8_005_PROGRAM_FOR_UTAH_SOCIETY_DAUGH.txt,PROGRAM FOR UTAH SOCIETY DAUGH-,Unknown,Article,33,1904,8,96.59
5,Community Celebration,0.960719638020277,WE_Vol32_1903_Issue10_005_PROGRAM_U_S_D_R_1904_1905.txt,"PROGRAM U. S. D. R., 1904—1905.",WOMAN’S EXPONENT,Article,32,1903,10,96.07
5,Community Celebration,0.9543641777083137,WE_Vol32_1903_Issue5_012_A_PLEASANT_AFTERNOON.txt,A Pleasant Afternoon,Unknown,Article,32,1903,5,95.44
5,Community Celebration,0.9532823114550149,WE_Vol39_1910_Issue7_014_A_DELIGHTFUL_EVENING.txt,A Delightful Evening,Unknown,Article,39,1910,7,95.33
5,Community Celebration,0.9453502161190706,WE_Vol35_1906_Issue1_015_DAUGHTERS_OF_THE_REVOLUTION.txt,Daughters of the Revolution,Unknown,Article,35,1906,1,94.54
5,Community Celebration,0.9411093295592672,WE_Vol37_1908_Issue7_017_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,37,1908,7,94.11
5,Community Celebration,0.9383516786391786,WE_Vol33_1904_Issue1_021_A_HAPPY_BIRTHDAY_PART.txt,A Happy Birthday Part,Unknown,Article,33,1904,1,93.84
5,Community Celebration,0.9372731281131805,WE_Vol39_1910_Issue5_015_A_DELIGHTFUL_BANQUET.txt,A Delightful Banquet,Unknown,Article,39,1910,5,93.73
5,Community Celebration,0.9367344480888411,WE_Vol33_1904_Issue8_009_D_R_S_HONOR_WASHINGTON_S_BIRTHDAY.txt,D. R’S. HONOR WASHINGTON’S BIRTHDAY.,Unknown,Article,33,1904,8,93.67
5,Community Celebration,0.9346208194671389,WE_Vol39_1910_Issue4_001_FRONT_MATTER.txt,FRONT_MATTER,Unknown,Front Matter,39,1910,4,93.46
5,Community Celebration,0.9333607221742121,WE_Vol32_1903_Issue6_021_ANNUAL_MEETING_D_R.txt,ANNUAL MEETING D. R.,Unknown,Board/Meeting,32,1903,6,93.34
5,Community Celebration,0.9266654920005238,WE_Vol38_1909_Issue8_018_EDITORIAL_NOTES.txt,Editorial Notes,WOMAN’S EXPONENT,Editorial,38,1909,8,92.67
5,Community Celebration,0.9259000350910395,WE_Vol32_1903_Issue10_017_BIRTHDAY_ANNIVERSARY.txt,Birthday Anniversary,Unknown,Article,32,1903,10,92.59
5,Community Celebration,0.9221564945703821,WE_Vol33_1904_Issue7_014_D_R_SOCIETY_MEETINGS.txt,D. R. Society Meetings,Unknown,Board/Meeting,33,1904,7,92.22
5,Community Celebration,0.9208902687460364,WE_Vol33_1904_Issue3_043_SEPTEMBER_MEETING_D_R.txt,"SEPTEMBER MEETING, D. R,",WOMAN’S EXPONENT,Board/Meeting,33,1904,3,92.09
5,Community Celebration,0.9158127486023164,WE_Vol35_1906_Issue6_016_UTAH_WOMAN_S_PRESS_CLUB.txt,UTAH WOMAN’S PRESS CLUB.,"MARIA FRANCIS,",Article,35,1906,6,91.58
5,Community Celebration,0.9113016315216712,WE_Vol35_1906_Issue4_005_THE_LAWN_RELIEF_SOCIETY_SOCIAL.txt,THE LAWN RELIEF SOCIETY SOCIAL.,Unknown,Relief Society Report,35,1906,4,91.13
5,Community Celebration,0.9106307611114083,WE_Vol33_1904_Issue11_016_A_HAPPY_ANNIVERSARY.txt,A HAPPY ANNIVERSARY.,Unknown,Article,33,1904,11,91.06
5,Community Celebration,0.9071500692667426,WE_Vol36_1907_Issue8_013_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,36,1907,8,90.72
5,Community Celebration,0.9039129746695942,WE_Vol37_1908_Issue3_003_JOSEPHINE_SPENCER.txt,JOSEPHINE SPENCER.,JOSEPHINE SPENCER,Article,37,1908,3,90.39
6,International Women's Councils,0.9878077307256756,WE_Vol41_1912_Issue14_007_FRUIT_CAKE.txt,FRUIT CAKE.,Unknown,Article,41,1912,14,98.78
6,International Women's Councils,0.9856143181239989,WE_Vol32_1903_Issue2_030_OBSTETRICS_AND_NURSING.txt,OBSTETRICS and NURSING.,Unknown,Article,32,1903,2,98.56
6,International Women's Councils,0.9851905300110619,WE_Vol33_1904_Issue9_027_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,33,1904,9,98.52
6,International Women's Councils,0.9847668478480119,WE_Vol33_1904_Issue11_031_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,33,1904,11,98.48
6,International Women's Councils,0.984639721979607,WE_Vol32_1903_Issue6_034_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,6,98.46
6,International Women's Councils,0.9844818846350861,WE_Vol35_1906_Issue3_024_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,35,1906,3,98.45
6,International Women's Councils,0.9843936955716445,WE_Vol33_1904_Issue1_035_DR_ELLIS_R_SHIPP.txt,DR. ELLIS R. SHIPP,CLASS IN MIDWIFERY,Article,33,1904,1,98.44
6,International Women's Councils,0.9841987628287671,WE_Vol33_1904_Issue8_025_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,33,1904,8,98.42
6,International Women's Councils,0.9841355002566684,WE_Vol34_1905_Issue10_024_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,WOMAN’S EXPONENT,Article,34,1905,10,98.41
6,International Women's Councils,0.9839123237790672,WE_Vol32_1903_Issue2_057_DR_MARGARET_C_ROBERTS.txt,DR. MARGARET C. ROBERTS,Unknown,Article,32,1903,2,98.39
6,International Women's Councils,0.98366243524604835,WE_Vol32_1903_Issue10_025_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,10,98.37
6,International Women's Councils,0.98366243524604835,WE_Vol32_1903_Issue11_023_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,11,98.37
6,International Women's Councils,0.98366243524604835,WE_Vol32_1903_Issue8_051_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,8,98.37
6,International Women's Councils,0.9833779617486039,WE_Vol32_1903_Issue1_033_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,1,98.34
6,International Women's Councils,0.9833779617486039,WE_Vol32_1903_Issue5_017_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,32,1903,5,98.34
6,International Women's Councils,0.98323564171374,WE_Vol34_1905_Issue5_019_COLUMN_1_R_K_THOMAS_DRY_GOODS_CO.txt,[Column 1]				R. K. THOMAS DRY GOODS CO.,Unknown,Article,34,1905,5,98.32
6,International Women's Councils,0.9831883937410306,WE_Vol34_1905_Issue2_028_DR_MARGARET_C_ROBERTS.txt,DR. MARGARET C. ROBERTS,Unknown,Article,34,1905,2,98.32
6,International Women's Councils,0.9830424928288208,WE_Vol34_1905_Issue7_025_R_K_THOMAS_DRY_GOODS_CO.txt,R. K. THOMAS DRY GOODS CO.,Unknown,Article,34,1905,7,98.3
