doc_id,filename,Title,Author,Article_Type,volume_num,year,issue,dominant_topic,topic_label,proportion_pct,strong_exemplar
294,WE_Vol32_1903_Issue8_023_WASATCH.txt,WASATCH.,Unknown,Article,32,1903,8,2,Relief Society Conference Reports,85,TRUE
2282,WE_Vol41_1912_Issue1_014_BEAR_RIVER_STAKE.txt,Bear River Stake,"ALICE S. LARSON,",Article,41,1912,1,2,Relief Society Conference Reports,85,TRUE
948,WE_Vol35_1906_Issue4_009_VISITS_OF_MISSIONARIES.txt,VISITS OF MISSIONARIES.,Unknown,Article,35,1906,4,2,Relief Society Conference Reports,84.7,TRUE
1371,WE_Vol37_1908_Issue2_015_RELIEF_SOCIETY_REUNION.txt,Relief Society Reunion,Unknown,Relief Society Report,37,1908,2,2,Relief Society Conference Reports,84.7,TRUE
2166,WE_Vol40_1911_Issue4_023_BIG_HORN_STAKE.txt,Big Horn Stake,"LIBBIE SNELL,",Article,40,1911,4,2,Relief Society Conference Reports,84.5,TRUE
2404,WE_Vol41_1912_Issue2_023_UINTAH_STAKE.txt,UINTAH STAKE.,WOMAN’S EXPONENT,Article,41,1912,2,2,Relief Society Conference Reports,83.9,TRUE
447,WE_Vol33_1904_Issue3_016_R_S_REPORTS.txt,R. S. REPORTS.,"SARAH WEBB,",Relief Society Report,33,1904,3,2,Relief Society Conference Reports,83.6,TRUE
1624,WE_Vol38_1909_Issue3_019_NEBO_STAKE.txt,NEBO STAKE.,Unknown,Article,38,1909,3,2,Relief Society Conference Reports,83.6,TRUE
2060,WE_Vol40_1911_Issue1_020_SNOWFLAKE_STAKE.txt,Snowflake Stake,Unknown,Article,40,1911,1,2,Relief Society Conference Reports,83.5,TRUE
449,WE_Vol33_1904_Issue3_018_HYRUM_STAKE.txt,HYRUM STAKE.,Unknown,Article,33,1904,3,2,Relief Society Conference Reports,83.4,TRUE
1203,WE_Vol36_1907_Issue4_018_UINTAH_STAKE.txt,Uintah Stake,"MARY B. HENRY,",Article,36,1907,4,2,Relief Society Conference Reports,82.1,TRUE
1384,WE_Vol37_1908_Issue3_007_R_S_REPORTS.txt,R. S. REPORTS.,Unknown,Relief Society Report,37,1908,3,2,Relief Society Conference Reports,81.6,TRUE
1895,WE_Vol39_1910_Issue4_018_CONFERENCE_REPORTS.txt,CONFERENCE REPORTS.,"JOSEPHINE KIMBALL,",Board/Meeting,39,1910,4,2,Relief Society Conference Reports,81.4,TRUE
2165,WE_Vol40_1911_Issue4_022_UINTAH_STAKE.txt,Uintah Stake,"PHEBE A. MERKLEY,",Article,40,1911,4,2,Relief Society Conference Reports,81.3,TRUE
2304,WE_Vol41_1912_Issue11_013_SAN_LUIS_STAKE.txt,SAN LUIS STAKE.,Unknown,Article,41,1912,11,2,Relief Society Conference Reports,81.2,TRUE
