word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
mother,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.184690773487091,0.1817540526390075,0.0150079205751659,250,250
mother,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1947446465492248,0.1934127807617187,0.0525011627684065,250,250
home,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.2014506459236145,0.201482892036438,0.0053990626891988,250,250
home,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.2071517705917358,0.2072001695632934,0.0170374330973403,250,250
home,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.2025848031044006,0.2025771141052246,0.0093713612100154,250,250
home,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.2015743851661682,0.2025647163391113,0.0140572977000009,250,250
home,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.2049777507781982,0.2059424519538879,0.0451987338243189,250,250
home,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.2010948657989502,0.2013930082321167,0.0097965844044264,250,250
home,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1964950561523437,0.1964897513389587,0.008261064825656,250,250
home,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.195131778717041,0.1965755224227905,0.0089910434210475,250,250
home,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.197547435760498,0.19873046875,0.0337245378577618,250,250
home,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.2016390562057495,0.202463150024414,0.0192964378918524,250,250
home,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1995869874954223,0.2015193104743957,0.0098743258135596,250,250
home,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.2014394998550415,0.2033559679985046,0.0147638732485739,250,250
home,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1946198940277099,0.1977590322494506,0.0130876169589973,250,250
home,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1971961259841919,0.2001827955245971,0.032910527278139,250,250
home,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1943190693855285,0.1946314573287964,0.0137487995543683,250,250
work,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1731047630310058,0.1732516884803772,0.012435561329306,249,250
work,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1757411956787109,0.1757777333259582,0.0131741547738719,249,250
work,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1801079511642456,0.1814977526664734,0.0365124548807493,249,250
work,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1862280964851379,0.1864672303199768,0.046310698556313,249,250
work,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1844238042831421,0.1868485212326049,0.0285564545607529,249,250
work,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1686837077140808,0.1692736148834228,0.0143214311180104,250,250
work,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1724532842636108,0.1740064620971679,0.0222985240212273,250,250
work,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1792189478874206,0.1800007820129394,0.0369272670922196,250,250
work,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1776694655418396,0.1803421974182129,0.030529729277011,250,250
work,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1717428565025329,0.1730758547782898,0.0137332389387566,250,250
work,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1780940294265747,0.1781655550003051,0.019374427491112,250,250
work,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1781820058822631,0.180353045463562,0.0180630072860102,250,250
work,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1816601157188415,0.18172687292099,0.0055050365173367,250,250
work,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1809889078140258,0.1827108263969421,0.0134730350884229,250,250
work,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1868199110031128,0.1873769760131836,0.0063157048042657,250,250
duty,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1846917867660522,0.1831545829772949,0.017143423597667,250,250
duty,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1883034110069275,0.1873807907104492,0.00815117532559,250,250
duty,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1895670294761657,0.1880556344985962,0.0168262897610201,250,250
duty,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1884500384330749,0.1888688206672668,0.0097693312854821,250,250
duty,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1924492716789245,0.1925363540649414,0.0034544129444567,250,250
duty,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1823884844779968,0.1816363930702209,0.0276586730959416,250,250
duty,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1838694214820861,0.1829807162284851,0.0412116675477948,250,250
duty,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.181816279888153,0.1824429631233215,0.0245397011126567,250,250
duty,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1865795850753784,0.187298834323883,0.0212155974435859,250,250
duty,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1849273443222046,0.1846507787704467,0.0138115940929418,250,250
duty,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1842029690742492,0.1857985854148864,0.0108179290464749,250,250
duty,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1884868741035461,0.190019428730011,0.0030183129935548,250,250
duty,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1846036911010742,0.1857970952987671,0.0032642121025759,250,250
duty,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1893752217292785,0.1906272172927856,0.0130138186350695,250,250
duty,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1880970001220703,0.188761830329895,0.0063990680465044,250,250
faith,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1865204572677612,0.1872483491897583,0.0036306465298532,250,250
faith,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1889766454696655,0.1899257898330688,0.0123780410786224,250,249
faith,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1903648376464843,0.189081072807312,0.0029355751558471,250,250
faith,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1895344257354736,0.1895556449890136,0.0065871516143323,250,250
faith,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1898792386054992,0.1894478797912597,0.0022937557151767,250,250
faith,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1878467202186584,0.190203309059143,0.0133677089738832,250,249
faith,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1886848211288452,0.1888753175735473,0.0035384887836603,250,250
faith,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1882751584053039,0.1897301077842712,0.0042205493234739,250,250
faith,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1885391473770141,0.1893772482872009,0.005284190034199,250,250
faith,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1891093254089355,0.1882162094116211,0.0126168699753343,249,250
faith,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1878858804702758,0.1884438395500183,0.0136713549913302,249,250
faith,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1895309090614318,0.189305305480957,0.0235310192238078,249,250
faith,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1884708404541015,0.1899512410163879,0.0091880545367767,250,250
faith,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1903007626533508,0.1911741495132446,0.0039654704269864,250,250
faith,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1893489360809326,0.1900346875190735,0.0088842915243527,250,250
family,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1740808486938476,0.1731930375099182,0.0033877570373152,250,250
family,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1770769953727722,0.1767764687538147,0.0119061163531877,250,250
family,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1771048307418823,0.1755091547966003,0.0769454990020054,250,250
