topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,proportion_pct
4,Topic 4: Home-Making and Recipes,0.9879849627516625,2359,July_Vol4_09_Article_How_to_Make_a_Homemade_Fireless_Cooker.txt,How to Make a Homemade Fireless Cooker,,Article,Vol4,1917,July,Relief_Society_Magazine,Relief Society Magazine,98.8
4,Topic 4: Home-Making and Recipes,0.9869054691476972,1848,August_Vol9_12_Article_Hotel_Utah_Food_Combinations_Louis_J._Theu.txt,Hotel Utah Food Combinations Louis J. Theu,Combinations Louis J. Theu,Article,Vol9,1922,August,Relief_Society_Magazine,Relief Society Magazine,98.69
4,Topic 4: Home-Making and Recipes,0.9860353093492764,1272,March_Vol9_Misc_front_matter.txt,matter,,Article,Vol9,1922,March,Relief_Society_Magazine,Relief Society Magazine,98.6
4,Topic 4: Home-Making and Recipes,0.9844822144228343,1899,V1_1914_Oct_08_Notice_Notices.txt,Notices,,Article,Vol1,1914,October,Relief_Society_Magazine,Relief Society Magazine,98.45
4,Topic 4: Home-Making and Recipes,0.9837807163455289,1268,June_Vol1_99_ADVERTISERS.txt,June Vol1 99 ADVERTISERS,,Article,Vol9,1922,June,Relief_Society_Magazine,Relief Society Magazine,98.38
4,Topic 4: Home-Making and Recipes,0.9823379218692071,1909,December_Vol7_09_Article_Index-Vol._VII.txt,Index—Vol. VII,,Article,Vol7,1920,December,Relief_Society_Magazine,Relief Society Magazine,98.23
4,Topic 4: Home-Making and Recipes,0.9810217543770995,920,June_Vol1_01_ADVERTISERS_DIRECTORY.txt,DIRECTORY,,Article,Vol9,1922,June,Relief_Society_Magazine,Relief Society Magazine,98.1
4,Topic 4: Home-Making and Recipes,0.9807383073920016,3480,August_Vol9_Misc_front_matter.txt,matter,Menus Jeanette A. Hyde,Article,Vol9,1922,August,Relief_Society_Magazine,Relief Society Magazine,98.07
4,Topic 4: Home-Making and Recipes,0.979950349378412,1857,WE_Vol41_1912_Issue3_026_HOUSEHOLD_HINTS.txt,Household Hints,WOMAN’S EXPONENT,Article,Vol41,1912,WE,Womans_Exponent,Woman's Exponent,98
4,Topic 4: Home-Making and Recipes,0.9789253565781023,583,November_Vol6_09_Construction_and_Reconstruction_in_the_Home.txt,and Reconstruction in the Home,,Article,Vol6,1919,November,Relief_Society_Magazine,Relief Society Magazine,97.89
4,Topic 4: Home-Making and Recipes,0.9789122541566001,1089,April_Vol9_02_Editorial_Editorial_The_Work_of_the_Millennium.txt,Editorial The Work of the Millennium,,Editorial,Vol9,1922,April,Relief_Society_Magazine,Relief Society Magazine,97.89
4,Topic 4: Home-Making and Recipes,0.9786560375391989,1905,V1_1914_Nov_08_Notice_Notices.txt,Notices,,Article,Vol1,1914,November,Relief_Society_Magazine,Relief Society Magazine,97.87
4,Topic 4: Home-Making and Recipes,0.978097647154131,1853,WE_Vol40_1911_Issue4_024_HOUSEHOLD_HINTS.txt,Household Hints,Unknown,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,97.81
4,Topic 4: Home-Making and Recipes,0.9774055758892025,1875,July_Vol4_10_Article_The_Iceless_Refrigerator.txt,The Iceless Refrigerator,,Article,Vol4,1917,July,Relief_Society_Magazine,Relief Society Magazine,97.74
4,Topic 4: Home-Making and Recipes,0.9754134194805572,918,V1_1914_May_00_Misc.txt,V1 1914 May 00 Misc,,Misc,Vol1,1914,May,Relief_Society_Magazine,Relief Society Magazine,97.54
5,Topic 5: Genealogy,0.9917440695138132,2146,January_Vol6_20c_Genealogy_LESSON_III_Genealogy_SCOTCH_AND_IRISH_SURNAMES.txt,LESSON III Genealogy SCOTCH AND IRISH SURNAMES,,Genealogy,Vol6,1919,January,Relief_Society_Magazine,Relief Society Magazine,99.17
5,Topic 5: Genealogy,0.9915567764544218,2211,February_Vol5_16c_Guide_Lessons_Lesson_III_-_Genealogy_and_Literature_-_Descendants_and_Trib.txt,Lesson III - Genealogy and Literature - Descendants and Trib,,Guide,Vol5,1918,February,Relief_Society_Magazine,Relief Society Magazine,99.16
