doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
103,WE_Vol32_1903_Issue8_013_ONE_HUNDREDTH_ANNIVERSARY.txt,ONE HUNDREDTH ANNIVERSARY.,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,48.7,TRUE
901,WE_Vol36_1907_Issue9_011_A_DELIGHTFUL_RECEPTION.txt,A DELIGHTFUL RECEPTION.,Unknown,Article,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,48.5,TRUE
100,March_Vol4_08_Article_Anniversary_Day_Programs.txt,Anniversary Day Programs,,Article,Vol4,1917,March,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,48.2,TRUE
1672,WE_Vol32_1903_Issue1_018_A_HAPPY_GATHERING.txt,A Happy Gathering,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47.8,TRUE
3222,WE_Vol35_1906_Issue6_010_A_VERY_PRETTY_WEDDING.txt,A VERY PRETTY WEDDING.,WOMAN’S EXPONENT,Article,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47.6,TRUE
123,WE_Vol32_1903_Issue6_021_ANNUAL_MEETING_D_R.txt,ANNUAL MEETING D. R.,Unknown,Board/Meeting,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47.4,TRUE
2428,WE_Vol32_1903_Issue5_011_MEETING_OF_THE_D_R.txt,Meeting of the D. R,Unknown,Board/Meeting,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47.3,TRUE
1677,WE_Vol34_1905_Issue9_016_A_HAPPY_SOCIAL_EVENT.txt,A Happy Social Event,Unknown,Article,Vol34,1905,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47.2,TRUE
667,WE_Vol41_1912_Issue6_001_FRONT_MATTER.txt,FRONT_MATTER,Unknown,Front Matter,Vol41,1912,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,47,TRUE
29,WE_Vol39_1910_Issue1_018_AFTERNOON_SOCIAL.txt,Afternoon Social,the hospitable hostesses was very sugges-,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,46.9,TRUE
1106,WE_Vol33_1904_Issue9_031_ELIAS.txt,ELIAS:,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,46.8,TRUE
3104,WE_Vol39_1910_Issue7_017_THE_THREE_UTAH_PATRIOTIC_SOCIETIES.txt,THE THREE UTAH PATRIOTIC SOCIETIES.,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,46.3,TRUE
2074,WE_Vol39_1910_Issue2_005_LAWN_PARTY_AND_BANQUET.txt,LAWN PARTY AND BANQUET.,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,46.1,TRUE
170,WE_Vol36_1907_Issue5_014_AN_ARTISTIC_BOOKLET.txt,An Artistic Booklet,Unknown,Article,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,45.2,TRUE
3687,WE_Vol37_1908_Issue6_020_SOCIAL_HALL_PARTIES.txt,Social Hall Parties,Unknown,Article,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,45.2,TRUE
1044,WE_Vol32_1903_Issue7_010_EDITORIAL_NOTES.txt,EDITORIAL NOTES.,Unknown,Editorial,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,44.8,TRUE
1428,WE_Vol38_1909_Issue6_013_A_GENUINE_SURPRISE.txt,A Genuine Surprise,WOMAN’S EXPONENT,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,44.8,TRUE
2783,WE_Vol34_1905_Issue2_017_A_NOTABLE_ANNIVERSARY.txt,A NOTABLE ANNIVERSARY.,Unknown,Article,Vol34,1905,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,44.8,TRUE
3208,September_Vol10_04_Article_TWO_PRAYERS.txt,TWO PRAYERS,,Article,Vol10,1923,September,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,44.7,TRUE
1739,WE_Vol38_1909_Issue6_001_FRONT_MATTER.txt,FRONT_MATTER,Unknown,Front Matter,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,44.3,TRUE
1670,WE_Vol33_1904_Issue9_053_A_HAPPY_BIRTHDAY_PARTY.txt,A HAPPY BIRTHDAY PARTY.,"invitation, March 7th, at the new resi-",Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,43.7,TRUE
