Poem Rename Log - Vols 30-40
[medium] VolVol34_1947 April: April_Vol34_24_Article_Recompense_Christensen.txt -> April_Vol34_24_Poem_Recompense_Christensen.txt
[high] VolVol34_1947 August: August_Vol34_05_Article_The_Meservy.txt -> August_Vol34_05_Poem_The_Meservy.txt
[high] VolVol34_1947 August: August_Vol34_06_Article_Remembrance_Lizabeth.txt -> August_Vol34_06_Poem_Remembrance_Lizabeth.txt
[medium] VolVol34_1947 December: December_Vol34_03_Article_Christmas_Morris.txt -> December_Vol34_03_Poem_Christmas_Morris.txt
[medium] VolVol34_1947 December: December_Vol34_06_Article_Winter_Candland.txt -> December_Vol34_06_Poem_Winter_Candland.txt
[high] VolVol34_1947 December: December_Vol34_09_Article_Immortal_Clark.txt -> December_Vol34_09_Poem_Immortal_Clark.txt
[medium] VolVol34_1947 December: December_Vol34_11_Article_Dilemma_Norton.txt -> December_Vol34_11_Poem_Dilemma_Norton.txt
[high] VolVol34_1947 December: December_Vol34_23_Article_Winter_Ireland.txt -> December_Vol34_23_Poem_Winter_Ireland.txt
[medium] VolVol34_1947 February: February_Vol34_04_Article_Pioneer_Stories_and_Lyman.txt -> February_Vol34_04_Poem_Pioneer_Stories_and_Lyman.txt
[high] VolVol34_1947 January: January_Vol34_16_Article_Winter_Candland.txt -> January_Vol34_16_Poem_Winter_Candland.txt
[high] VolVol34_1947 January: January_Vol34_27_Article_Birds_Marguerite_Kirkham.txt -> January_Vol34_27_Poem_Birds_Marguerite_Kirkham.txt
[medium] VolVol34_1947 January: January_Vol34_31_Article_A_Mother_to_Her_Hase.txt -> January_Vol34_31_Poem_A_Mother_to_Her_Hase.txt
[high] VolVol34_1947 July: July_Vol34_07_Article_Little_Pioneers_Hopper.txt -> July_Vol34_07_Poem_Little_Pioneers_Hopper.txt
[medium] VolVol34_1947 June: June_Vol34_01_Frontispiece_Song_of_the_Frontispiece.txt -> June_Vol34_01_Poem_Song_of_the_Frontispiece.txt
[medium] VolVol34_1947 June: June_Vol34_04_Article_The_Reid.txt -> June_Vol34_04_Poem_The_Reid.txt
[medium] VolVol34_1947 June: June_Vol34_05_Article_June_Ames.txt -> June_Vol34_05_Poem_June_Ames.txt
[high] VolVol34_1947 June: June_Vol34_14_Article_Honeymoon_McKey.txt -> June_Vol34_14_Poem_Honeymoon_McKey.txt
[high] VolVol34_1947 June: June_Vol34_20_Article_June_Rich.txt -> June_Vol34_20_Poem_June_Rich.txt
[high] VolVol34_1947 March: March_Vol34_03_Article_Sturdy_Ames.txt -> March_Vol34_03_Poem_Sturdy_Ames.txt
[high] VolVol34_1947 March: March_Vol34_04_Article_Miracle_of_Romolo.txt -> March_Vol34_04_Poem_Miracle_of_Romolo.txt
[medium] VolVol34_1947 March: March_Vol34_10_Article_Who_Can_Say_There_Is_No_Gabbott.txt -> March_Vol34_10_Poem_Who_Can_Say_There_Is_No_Gabbott.txt
[high] VolVol34_1947 March: March_Vol34_11_Article_He_Lived_Miner.txt -> March_Vol34_11_Poem_He_Lived_Miner.txt
[medium] VolVol34_1947 March: March_Vol34_23_Article_The_Tenney.txt -> March_Vol34_23_Poem_The_Tenney.txt
[high] VolVol34_1947 March: March_Vol34_25_Article_March_Trone.txt -> March_Vol34_25_Poem_March_Trone.txt
[high] VolVol34_1947 May: May_Vol34_01_Frontispiece_A_Frontispiece.txt -> May_Vol34_01_Poem_A_Frontispiece.txt
[medium] VolVol34_1947 May: May_Vol34_11_Article_Two_Perry.txt -> May_Vol34_11_Poem_Two_Perry.txt
[medium] VolVol34_1947 May: May_Vol34_12_Article_The_Growing_Braack.txt -> May_Vol34_12_Poem_The_Growing_Braack.txt
[medium] VolVol34_1947 November: November_Vol34_03_Article_Anchored_Andersen.txt -> November_Vol34_03_Poem_Anchored_Andersen.txt
[medium] VolVol34_1947 October: October_Vol34_15_Article_Autumn_Coles.txt -> October_Vol34_15_Poem_Autumn_Coles.txt
[medium] VolVol34_1947 September: September_Vol34_06_Article_Union_Fort_Roberts.txt -> September_Vol34_06_Poem_Union_Fort_Roberts.txt
[high] VolVol34_1947 September: September_Vol34_10_Article_Beauty_Young.txt -> September_Vol34_10_Poem_Beauty_Young.txt
[medium] VolVol34_1947 September: September_Vol34_18_Article_The_Spinning_Gabbott.txt -> September_Vol34_18_Poem_The_Spinning_Gabbott.txt
[medium] VolVol35_1948 April: April_Vol35_04_Article_New_Coles.txt -> April_Vol35_04_Poem_New_Coles.txt
[high] VolVol35_1948 April: April_Vol35_07_Article_More_Sayre.txt -> April_Vol35_07_Poem_More_Sayre.txt
[medium] VolVol35_1948 April: April_Vol35_20_Article_From_Loam_of_Roberts.txt -> April_Vol35_20_Poem_From_Loam_of_Roberts.txt
[medium] VolVol35_1948 August: August_Vol35_30_Article_Summer_Shines_With_Horne.txt -> August_Vol35_30_Poem_Summer_Shines_With_Horne.txt
[high] VolVol35_1948 December: December_Vol35_03_Article_Ring_Out_Ye_Fox.txt -> December_Vol35_03_Poem_Ring_Out_Ye_Fox.txt
[medium] VolVol35_1948 December: December_Vol35_14_Article_Alice_R._Rich.txt -> December_Vol35_14_Poem_Alice_R._Rich.txt
[medium] VolVol35_1948 December: December_Vol35_20_Article_Dorothy_J._Roberts.txt -> December_Vol35_20_Poem_Dorothy_J._Roberts.txt
[medium] VolVol35_1948 December: December_Vol35_22_Article_C._Cameron_Johns.txt -> December_Vol35_22_Poem_C._Cameron_Johns.txt
[high] VolVol35_1948 January: January_Vol35_17_Article_Symphony_Parsons.txt -> January_Vol35_17_Poem_Symphony_Parsons.txt
[medium] VolVol35_1948 January: January_Vol35_21_Article_My_Nelson.txt -> January_Vol35_21_Poem_My_Nelson.txt
[high] VolVol35_1948 January: January_Vol35_28_Article_Della_Adams_Leitner.txt -> January_Vol35_28_Poem_Della_Adams_Leitner.txt
[medium] VolVol35_1948 June: June_Vol35_03_Article_Stay-at-Home_Lael_Hill.txt -> June_Vol35_03_Poem_Stay-at-Home_Lael_Hill.txt
[high] VolVol35_1948 June: June_Vol35_22_Article_The_Graduate_Wehr.txt -> June_Vol35_22_Poem_The_Graduate_Wehr.txt
[medium] VolVol35_1948 June: June_Vol35_23_Article_Heartbreak_Cherry_McKay.txt -> June_Vol35_23_Poem_Heartbreak_Cherry_McKay.txt
[high] VolVol35_1948 June: June_Vol35_25_Article_Margery_S._Stewart.txt -> June_Vol35_25_Poem_Margery_S._Stewart.txt
[medium] VolVol35_1948 March: March_Vol35_25_Article_Twilight_Linford.txt -> March_Vol35_25_Poem_Twilight_Linford.txt
[high] VolVol35_1948 May: May_Vol35_14_Article_Too_Deep_the_Morris.txt -> May_Vol35_14_Poem_Too_Deep_the_Morris.txt
[medium] VolVol35_1948 May: May_Vol35_25_Article_Mothers_Allredge.txt -> May_Vol35_25_Poem_Mothers_Allredge.txt
[medium] VolVol35_1948 November: November_Vol35_03_Article_The_Building_Neal.txt -> November_Vol35_03_Poem_The_Building_Neal.txt
[medium] VolVol35_1948 November: November_Vol35_10_Article_Apache_Storey.txt -> November_Vol35_10_Poem_Apache_Storey.txt
[medium] VolVol35_1948 November: November_Vol35_12_Article_Simple_Things_of_Life.txt -> November_Vol35_12_Poem_Simple_Things_of_Life.txt
[medium] VolVol35_1948 November: November_Vol35_13_Article_Spot_Miles.txt -> November_Vol35_13_Poem_Spot_Miles.txt
[medium] VolVol35_1948 November: November_Vol35_24_Article_Desert_Dusk.txt -> November_Vol35_24_Poem_Desert_Dusk.txt
[medium] VolVol35_1948 October: October_Vol35_10_Article_Grace_M._Candland.txt -> October_Vol35_10_Poem_Grace_M._Candland.txt
[high] VolVol35_1948 October: October_Vol35_11_Article_Migrants_Marvin_Jones.txt -> October_Vol35_11_Poem_Migrants_Marvin_Jones.txt
[medium] VolVol35_1948 September: September_Vol35_21_Article_C._Cameron_Johns.txt -> September_Vol35_21_Poem_C._Cameron_Johns.txt
[medium] VolVol36_1949 June: June_Vol36_04_Article_Roses_Rain.txt -> June_Vol36_04_Poem_Roses_Rain.txt
[medium] VolVol36_1949 November: November_Vol36_17_Article_November_Moon.txt -> November_Vol36_17_Poem_November_Moon.txt
[medium] VolVol36_1949 October: October_Vol36_03_Article_Veteran.txt -> October_Vol36_03_Poem_Veteran.txt
