Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Woman's Exponent,J. L. S.,Initials only,2,0,2,0.022,1885–1886
Woman's Exponent,J. V. Parker,Full name,2,0,2,0.054,1890–1890
Woman's Exponent,J. W. Sanborn,Full name,2,0,2,0.029,1890–1891
Woman's Exponent,James G. Clark,Full name,2,0,2,0.058,1881–1895
Woman's Exponent,Jane E. Molen,Full name,2,0,2,0.093,1877–1884
Woman's Exponent,Jane Lefevre,Full name,2,0,2,0.065,1903–1904
Woman's Exponent,John M. Russell,Full name,2,0,2,0.029,1885–1885
Woman's Exponent,Joseph Smith,Full name,2,0,2,0.063,1881–1896
Woman's Exponent,Josephine Kimball,Full name,2,0,2,0.1,1910–1911
Woman's Exponent,Julia A. Macdonald,Full name,2,0,2,0.126,1891–1896
Woman's Exponent,Julia P. M. Farnsworth,Full name,2,0,2,0.081,1910–1912
Woman's Exponent,Julia Spencer,Full name,2,0,2,0.042,1878–1880
Woman's Exponent,K. E. D.,Initials only,2,0,2,0.09,1876–1884
Woman's Exponent,L. B. Pratt,Full name,2,0,2,0.078,1874–1879
Woman's Exponent,L. S.,Initials only,2,0,2,-0.001,1875–1888
Woman's Exponent,L. S. Dickinson,Full name,2,0,2,0.104,1892–1897
Woman's Exponent,L.m. Hewlings,Full name,2,0,2,0.17,1889–1896
Woman's Exponent,LU.,Initials only,2,0,2,0.066,1890–1890
Woman's Exponent,Laura M. Miner,Full name,2,0,2,0.103,1873–1873
Woman's Exponent,Libbie Snell,Full name,2,0,2,0.09,1910–1911
Woman's Exponent,Lillie Devereux Blake,Full name,2,0,2,-0.011,1878–1890
Woman's Exponent,Louise Tueller,Full name,2,0,2,0.125,1907–1912
Woman's Exponent,Lu. Dalton,Full name,2,0,2,0.186,1874–1889
Woman's Exponent,M. A. F.,Initials only,2,0,2,0.091,1872–1874
Woman's Exponent,M. A. M. Pratt,Full name,2,0,2,0.058,1882–1887
Woman's Exponent,M. A. S.,Initials only,2,0,2,0.011,1884–1890
Woman's Exponent,M. A. W.,Initials only,2,0,2,0.025,1877–1891
Woman's Exponent,M. C. Pennock,Full name,2,0,2,0.054,1895–1895
Woman's Exponent,M. E. T.,Initials only,2,0,2,0.089,1889–1889
Woman's Exponent,M. E. Teasdale,Full name,2,0,2,0.097,1883–1886
Woman's Exponent,M. F.,Initials only,2,0,2,0.116,1881–1910
Woman's Exponent,M. F. C.,Initials only,2,0,2,0.047,1898–1899
Woman's Exponent,M. H. T.,Initials only,2,0,2,0.155,1885–1888
Woman's Exponent,M. I. A.,Initials only,2,0,2,0.067,1887–1889
Woman's Exponent,M. Isabella Horne,Full name,2,0,2,-0.017,1886–1902
Woman's Exponent,M. P.,Initials only,2,0,2,0.28,1876–1888
Woman's Exponent,M. P. Hughes,Full name,2,0,2,0.026,1888–1888
Woman's Exponent,M. S.,Initials only,2,0,2,0.049,1877–1885
Woman's Exponent,M. T.,Initials only,2,0,2,0.087,1875–1876
Woman's Exponent,Mabelle Biggart,Full name,2,0,2,0.019,1899–1904
Woman's Exponent,Maggie C. Shipp,Full name,2,0,2,0,1891–1895
Woman's Exponent,"Margaret C. Roberts, M. D.",Full name,2,0,2,0.009,1910–1910
Woman's Exponent,Margaret E. Sangster,Full name,2,0,2,0.029,1891–1892
Woman's Exponent,Margaret W. Manning,Full name,2,0,2,0.088,1908–1911
Woman's Exponent,Maria M. Ogilvie Gordon,Full name,2,0,2,0.065,1909–1912
Woman's Exponent,Martha Shepard Lippincott,Full name,2,0,2,0.112,1897–1898
Woman's Exponent,Mary B. Eyring,Full name,2,0,2,0.059,1891–1902
Woman's Exponent,Mary Baxter,Full name,2,0,2,0.085,1898–1906
Woman's Exponent,Mary E. Brower,Full name,2,0,2,0.04,1909–1910
Woman's Exponent,Mary E. Skinner,Full name,2,0,2,0.096,1887–1900
Woman's Exponent,Mary J. West,Full name,2,0,2,0.077,1884–1886
Woman's Exponent,Mary John,Full name,2,0,2,0.058,1887–1889
Woman's Exponent,Mary Pitchforth,Full name,2,0,2,0.107,1886–1891
Woman's Exponent,Monta Harris,Full name,2,0,2,0.079,1882–1884
Woman's Exponent,N. Y.,Initials only,2,0,2,0.099,1886–1887
Woman's Exponent,O. S.,Initials only,2,0,2,0.129,1881–1907
Woman's Exponent,Of Every Description,Full name,2,0,2,0.061,1908–1909
Woman's Exponent,One Who Knows,Full name,2,0,2,0.001,1882–1882
Woman's Exponent,Our Specialty,Full name,2,0,2,0,1908–1908
Woman's Exponent,Phebe A. Merkley,Full name,2,0,2,0.002,1911–1912
Woman's Exponent,Phebe Y. Beatie,Full name,2,0,2,0.061,1909–1909
Woman's Exponent,Prudence Brown,Full name,2,0,2,0.101,1911–1912
Woman's Exponent,R. E. Moench,Full name,2,0,2,0.143,1893–1894
Woman's Exponent,Rachel Edwards,Full name,2,0,2,0.049,1879–1890
Woman's Exponent,Rachel G. Foster,Full name,2,0,2,0.028,1881–1887
Woman's Exponent,"Request Of Our President, Mrs. Mary",Full name,2,0,2,0.092,1876–1876
Woman's Exponent,Ruthinda E. Monch,Full name,2,0,2,0.165,1884–1884
Woman's Exponent,S. A. S.,Initials only,2,0,2,0.049,1884–1893
Woman's Exponent,S. G. R.,Initials only,2,0,2,0.07,1881–1890
Woman's Exponent,S. J. T.,Initials only,2,0,2,0.145,1875–1875
Woman's Exponent,S. M. Pomeroy,Full name,2,0,2,0.109,1882–1884
Woman's Exponent,Sarah A. Fullmer,Full name,2,0,2,0.004,1882–1883
Woman's Exponent,Sarah A. Herrick,Full name,2,0,2,0.15,1884–1884
Woman's Exponent,Sarah E. Cluff,Full name,2,0,2,0.07,1881–1885
Woman's Exponent,Sarah Jolly,Full name,2,0,2,0.144,1875–1876
Woman's Exponent,Sarah P. Crosby,Full name,2,0,2,0.032,1883–1885
Woman's Exponent,Sarah Sudweeks,Full name,2,0,2,0.062,1878–1886
Woman's Exponent,Special Invitation The Utah Woman'S,Full name,2,0,2,0.085,1895–1895
Woman's Exponent,Special Request Of Mrs. E. R. Snow Smith,Full name,2,0,2,0.012,1882–1882
Woman's Exponent,Susan B. Anthony,Full name,2,0,2,0.043,1879–1898
Woman's Exponent,Try Us,Full name,2,0,2,0.066,1910–1910
Woman's Exponent,Zina E. Crocheron,Full name,2,0,2,0.199,1889–1891
Woman's Exponent,Zina Y. Card,Full name,2,0,2,0.135,1889–1890
Woman's Exponent,$5. Maggie W. Thompson,Full name,1,0,1,0.1,1885–1885
Woman's Exponent,"1,020 Women In 425 Towns, 125 Congres",Full name,1,0,1,0.034,1878–1878
Woman's Exponent,164 Feet Deep To A. 30 Foot Alley. The Cost Is,Full name,1,0,1,0.04,1890–1890
Woman's Exponent,1833. M. E. K.,Full name,1,0,1,0.088,1883–1883
