Publication,Initials,Articles,Resembles (probable),Agreement,Mean confidence,Threshold,Also possible,Years
Woman's Exponent,M. L. M.,1,Hannah T. King,100%,0.446,Below threshold,NA,1883–1883
Woman's Exponent,M. L. S.,1,Emmeline B. Wells,100%,0.77,Balanced,NA,1889–1889
Woman's Exponent,M. P.,1,Emily B. Spencer,100%,0.405,Below threshold,NA,1876–1876
Woman's Exponent,M. R.,1,Emmeline B. Wells,100%,0.708,Balanced,NA,1875–1875
Woman's Exponent,M. R. J.,1,Emily Hill Woodmansee,100%,0.999,Conservative,NA,1886–1886
Woman's Exponent,M. S. C.,1,L. M. Hewlings,100%,0.429,Below threshold,NA,1874–1874
Woman's Exponent,M. W.,1,Hannah T. King,100%,0.289,Below threshold,NA,1877–1877
Woman's Exponent,M. Y. R.,1,Lydia D. Alder,100%,0.449,Below threshold,NA,1890–1890
Woman's Exponent,N. C. D.,1,Zina D. H. Young,100%,0.585,Balanced,NA,1905–1905
Woman's Exponent,N. C. Y.,1,Lydia D. Alder,100%,0.554,Balanced,NA,1880–1880
Woman's Exponent,O. H. W.,1,Ellis R. Shipp,100%,0.929,Conservative,NA,1898–1898
Woman's Exponent,P. A. M.,1,Helen Mar Whitney,100%,0.865,Conservative,NA,1873–1873
Woman's Exponent,P. E. C.,1,Eliza R. Snow,100%,0.529,Below threshold,NA,1900–1900
Woman's Exponent,P. H. Y.,1,Lydia D. Alder,100%,0.962,Conservative,NA,1881–1881
Woman's Exponent,P. S. H.,1,Zina D. H. Young,100%,0.694,Balanced,NA,1875–1875
Woman's Exponent,R. A. S.,1,Emmeline B. Wells,100%,0.536,Below threshold,NA,1900–1900
Woman's Exponent,R. A. W.,1,L. M. Hewlings,100%,0.302,Below threshold,NA,1881–1881
Woman's Exponent,R. C. W.,1,Emmeline B. Wells,100%,0.314,Below threshold,NA,1883–1883
Woman's Exponent,R. F. S.,1,Hannah T. King,100%,0.847,Conservative,NA,1878–1878
Woman's Exponent,R. M.,1,Mary Ellen Kimball,100%,0.932,Conservative,NA,1875–1875
Woman's Exponent,R. R.,1,Emmeline B. Wells,100%,0.482,Below threshold,NA,1886–1886
Woman's Exponent,R. R. G.,1,Emmeline B. Wells,100%,0.753,Balanced,NA,1879–1879
Woman's Exponent,R. R. I.,1,Lydia D. Alder,100%,0.576,Balanced,NA,1888–1888
Woman's Exponent,R. S. D.,1,Emmeline B. Wells,100%,0.985,Conservative,NA,1895–1895
Woman's Exponent,R. S. G.,1,Lydia D. Alder,100%,0.924,Conservative,NA,1902–1902
Woman's Exponent,R. W. F.,1,Mary Ann M. Pratt,100%,0.601,Balanced,NA,1887–1887
Woman's Exponent,R. W. S.,1,Lydia D. Alder,100%,0.393,Below threshold,NA,1886–1886
Woman's Exponent,S. A.,1,Eliza R. Snow,100%,0.525,Below threshold,NA,1878–1878
Woman's Exponent,S. A. C.,1,M. J. Tanner,100%,0.474,Below threshold,NA,1874–1874
Woman's Exponent,S. B. R.,1,Mary Ellen Kimball,100%,0.961,Conservative,NA,1874–1874
Woman's Exponent,S. C. D.,1,Zina D. H. Young,100%,0.907,Conservative,NA,1877–1877
Woman's Exponent,S. C. M.,1,Emily Hill Woodmansee,100%,0.815,Conservative,NA,1894–1894
