Publication,Alias,Type,Articles,Resembles (probable),Certainty,Agreement,Threshold,Also possible,Years
Woman's Exponent,L. S. M.,initials,1,Emmeline B. Wells,52%,100%,Below threshold,NA,1896–1896
Woman's Exponent,L. T. F.,initials,1,Eliza R. Snow,89%,100%,Conservative,NA,1891–1891
Woman's Exponent,M. A. B.,initials,1,Mary Ellen Kimball,96%,100%,Conservative,NA,1875–1875
Woman's Exponent,M. A. C.,initials,1,Helen Mar Whitney,45%,100%,Below threshold,NA,1888–1888
Woman's Exponent,M. A. G.,initials,1,Emily B. Spencer,71%,100%,Balanced,NA,1889–1889
Woman's Exponent,M. A. H.,initials,1,Lydia D. Alder,63%,100%,Balanced,NA,1880–1880
Woman's Exponent,M. A. P.,initials,1,Mary Ann M. Pratt,87%,100%,Conservative,NA,1884–1884
Woman's Exponent,M. A. P. H.,initials,1,Helen Mar Whitney,90%,100%,Conservative,NA,1890–1890
Woman's Exponent,M. A. R. G.,initials,1,Lydia D. Alder,84%,100%,Conservative,NA,1889–1889
Woman's Exponent,M. A. W. S.,initials,1,Lydia D. Alder,95%,100%,Conservative,NA,1889–1889
Woman's Exponent,M. E. B.,initials,1,Mary Ellen Kimball,85%,100%,Conservative,NA,1884–1884
Woman's Exponent,M. E. H.,initials,1,Emmeline B. Wells,85%,100%,Conservative,NA,1890–1890
Woman's Exponent,M. E. S.,initials,1,Augusta Joyce Crocheron,97%,100%,Conservative,NA,1902–1902
Woman's Exponent,M. E. W.,initials,1,Augusta Joyce Crocheron,96%,100%,Conservative,NA,1872–1872
Woman's Exponent,M. F. C. M.,initials,1,Ellis R. Shipp,69%,100%,Balanced,NA,1888–1888
Woman's Exponent,M. I. H.,initials,1,Helen Mar Whitney,83%,100%,Conservative,NA,1880–1880
Woman's Exponent,M. L. G.,initials,1,Lydia D. Alder,95%,100%,Conservative,NA,1904–1904
Woman's Exponent,M. L. L.,initials,1,Mary Ellen Kimball,49%,100%,Below threshold,NA,1876–1876
Woman's Exponent,M. L. M.,initials,1,Lula Greene Richards,42%,100%,Below threshold,NA,1883–1883
Woman's Exponent,M. L. S.,initials,1,Emmeline B. Wells,79%,100%,Balanced,NA,1889–1889
Woman's Exponent,M. P.,initials,1,Emily B. Spencer,36%,100%,Below threshold,NA,1876–1876
Woman's Exponent,M. R.,initials,1,Emmeline B. Wells,58%,100%,Balanced,NA,1875–1875
Woman's Exponent,M. R. J.,initials,1,Emily Hill Woodmansee,100%,100%,Conservative,NA,1886–1886
Woman's Exponent,M. S. C.,initials,1,L. M. Hewlings,41%,100%,Below threshold,NA,1874–1874
Woman's Exponent,M. W.,initials,1,Hannah T. King,35%,100%,Below threshold,NA,1877–1877
Woman's Exponent,M. Y. R.,initials,1,Lydia D. Alder,42%,100%,Below threshold,NA,1890–1890
Woman's Exponent,N. C. D.,initials,1,Zina D. H. Young,59%,100%,Balanced,NA,1905–1905
Woman's Exponent,N. C. Y.,initials,1,Lydia D. Alder,53%,100%,Below threshold,NA,1880–1880
Woman's Exponent,O. H. W.,initials,1,Ellis R. Shipp,93%,100%,Conservative,NA,1898–1898
